WELL,CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
16_10-1,CALI,11265.0,11.59647344642766,12.406200409,2.296464188154203,7.8392696381,8.8515996933,12.71295166,23.703100204,3.861351966699999,0.19803125482615044
16_10-1,DEPT,11265.0,2269.5110640121616,2269.4957898,494.3397296927033,1413.4317898,1841.4637898,2697.5277898,3125.8637898,856.0639999999999,0.2178177218571402
16_10-1,DEPTH_MD,11265.0,2269.5110636460363,2269.4958496,494.3397293074723,1413.4317627,1841.4637451,2697.527832,3125.8637695,856.0640869000001,0.21781772172253744
16_10-1,DTC,11265.0,108.17720377144651,113.02108765,32.58104516684746,51.280059814,74.687263489,141.40962219,177.2286377,66.72235870099999,0.30118217176036177
16_10-1,FORCE_2020_LITHOFACIES_CONFIDENCE,11265.0,1.4452729693741677,1.0,0.5353709473627714,1.0,1.0,2.0,3.0,1.0,0.37042894920715064
16_10-1,FORCE_2020_LITHOFACIES_LITHOLOGY,11265.0,65128.367332445625,65000.0,10220.455828344038,30000.0,65000.0,70000.0,99000.0,5000.0,0.15692786794691252
16_10-1,GR,11265.0,63.016092431212826,66.220657349,36.865898311638695,5.7826800346,28.849582672,84.402694702,300.94192505,55.55311203000001,0.5850235533388684
16_10-1,NPHI,11265.0,0.30782600306961383,0.3384339511,0.1408843425702413,-0.0053,0.1724261642,0.4366072714,0.6133149266,0.2641811072,0.45767524889176037
16_10-1,RDEP,11265.0,2.5802882551462676,0.8551283479,35.804550334715145,0.1268168986,0.6539316177,2.1239709854,1856.9350586,1.4700393677,13.87618234641211
16_10-1,RHOB,11265.0,2.2974024882802935,2.2898085117,0.21938023826516617,1.4121896029,2.107970953,2.4996931553,2.9524800777,0.3917222023,0.09549055482628205
16_10-1,RMED,11265.0,2.423237922411593,0.9559332728,18.433987575978456,0.1814138591,0.7311756611,2.5712499619,1796.2091064,1.8400743008,7.6071719600826695
16_10-1,X_LOC,11265.0,444162.91189802485,444160.28125,10.367624023763572,444151.8125,444153.03125,444170.0,444186.9375,16.96875,2.3341939964010028e-05
16_10-1,Y_LOC,11265.0,6435563.634975588,6435557.5,12.904433959077023,6435551.0,6435554.5,6435569.5,6435598.0,15.0,2.0051754113571084e-06
16_10-1,Z_LOC,11265.0,-2244.1221460782067,-2244.341064,493.95429705149405,-3099.112061,-2672.044678,-1816.381714,-1388.378296,855.6629640000001,-0.22011025465557701
