CURVE,count,mean,std,min,25%,50%,75%,max
CALI,4612.0,8.937973337801454,0.8829511796247937,8.219578743,8.555976390875001,8.875541210200002,8.943878173849999,17.008371353
DEPT,4612.0,2489.2255993,202.3901356753008,2138.7895993,2314.0075993,2489.2255993,2664.4435993,2839.6615993
DEPTH_MD,4612.0,2489.2255995960104,202.39013568563712,2138.7895508,2314.0076294,2489.22558595,2664.4435425,2839.6616211
DTC,4612.0,88.04761569811666,11.181014576083104,67.662979126,81.82532501225,85.9428634645,90.253005981,132.47460938
FORCE_2020_LITHOFACIES_CONFIDENCE,4612.0,1.2382914137033825,0.4341519392847721,1.0,1.0,1.0,1.0,3.0
FORCE_2020_LITHOFACIES_LITHOLOGY,4612.0,63441.48525585429,12039.153329901925,30000.0,65000.0,65000.0,70000.0,90000.0
GR,4612.0,94.4151132464549,41.34697286641718,35.097110748,50.6647253035,104.20344925,122.39676094250001,323.01446533
NPHI,4612.0,0.24737167867545531,0.07287402021528734,0.0913072899,0.212721731525,0.24289844929999999,0.27272026985,0.8173101544
RDEP,4612.0,1.8571476264240028,0.7374770355166562,0.2592559457,1.298864632825,1.8379776477999998,2.249757349525,5.5029764175
RHOB,4612.0,2.4508672663167386,0.08564281460789794,1.9569615126,2.392064988625,2.47944545745,2.517236590425,2.7498574257
RMED,4612.0,1.384633947522593,0.5814063942303942,0.3865517974,0.965761899925,1.3981626033999999,1.672152221225,4.0020260811
X_LOC,4612.0,460446.6769975065,6.394429981844957,460437.4375,460441.03125,460445.6875,460451.75,460460.03125
Y_LOC,4612.0,6453744.101257589,0.9932228282904376,6453743.0,6453743.5,6453744.0,6453745.0,6453746.0
Z_LOC,4612.0,-2448.8015936678225,202.28196103061197,-2798.958984,-2623.944458,-2448.8343505000003,-2273.6797482499996,-2098.499023
