CALI,DEPT,DEPTH_MD,DTC,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,GR,NPHI,RDEP,RHOB,RMED,X_LOC,Y_LOC,Z_LOC
16.618268967,1012.6379984,1012.6380005,148.91500854,1.0,65000.0,36.383289337,0.5367982984,0.8020954728,1.9232666492,0.6734161973,438592.28125,6478953.0,-990.611145
16.54479599,1012.7899984,1012.789978,149.9335022,1.0,65000.0,35.095161438,0.5376170278,0.7840690017,1.9083048105,0.6823344827,438592.28125,6478953.0,-990.7631226
16.460544586,1012.9419984,1012.9420166,150.47966003,1.0,30000.0,36.926651001,0.5482682586,0.7753056288,1.9141306877,0.6879056096,438592.28125,6478953.0,-990.9151611
16.420190811,1013.0939984,1013.0939941,149.97157288,1.0,30000.0,35.196994781,0.5263445377,0.7731670737,1.9305723906,0.6827929616,438592.28125,6478953.0,-991.0671387
16.608219147,1013.2459984,1013.2459717,149.55151367,1.0,30000.0,32.540019989,0.5012934804,0.7749000192,1.9587436914,0.6749004126,438592.28125,6478953.0,-991.2191162
16.700286865,1013.3979984,1013.3980103,149.08248901,1.0,30000.0,30.132263184,0.4960533381,0.7743546963,1.9749360085,0.6704452634,438592.28125,6478953.0,-991.3711548
16.747062683,1013.5499984,1013.5499878,148.27923584,1.0,30000.0,29.08298111,0.5138258338,0.7719820142,1.9803628922,0.6724129915,438592.28125,6478953.0,-991.5231323
16.802179337,1013.7019984,1013.7020264,148.28823853,1.0,30000.0,29.679132462,0.5314406157,0.7685910463,1.9832880497,0.6724900603,438592.28125,6478953.0,-991.6751709
16.867658615,1013.8539984,1013.8540039,148.2915802,1.0,30000.0,29.87128067,0.523471415,0.7676616311,1.975197196,0.6677618623,438592.28125,6478953.0,-991.8271484
16.837362289,1014.0059984,1014.0059814,148.25308228,1.0,30000.0,30.010044098,0.5002601743,0.7739135623,1.9664932489,0.6615068913,438592.28125,6478953.0,-991.979126
16.663160324,1014.1579984,1014.15802,147.93070984,1.0,30000.0,29.063726425,0.5030753613,0.7817158699,1.9607533216,0.6514232159,438592.28125,6478953.0,-992.1311646
16.625938416,1014.3099984,1014.3099976,147.18164063,1.0,30000.0,30.838323593,0.5122506022,0.7900912762,1.9679137468,0.6487341523,438592.28125,6478953.0,-992.2831421
16.722768784,1014.4619984,1014.4619751,146.96316528,1.0,30000.0,33.01367569,0.5348030925,0.7950361371,1.9839012623,0.6550481319,438592.28125,6478953.0,-992.4351196
16.765874863,1014.6139984,1014.6140137,147.30267334,1.0,30000.0,33.025848389,0.5350934863,0.7966482043,1.9880481958,0.6648122668,438592.28125,6478953.0,-992.5871582
16.859399796,1014.7659984,1014.7659912,147.76373291,1.0,30000.0,33.057987213,0.523420155,0.7957754135,1.9870508909,0.6690528989,438592.28125,6478953.0,-992.7391357
16.867090225,1014.9179984,1014.9179688,148.48379517,1.0,30000.0,29.809196472,0.5189496279,0.7958930135,1.9858316183,0.6647006273,438592.28125,6478953.0,-992.8911133
16.932516098,1015.0699984,1015.0700073,149.20315552,1.0,30000.0,28.619009018,0.4927851856,0.7978633046,1.986058116,0.6588342786,438592.28125,6478953.0,-993.0431519
17.073810577,1015.2219984,1015.2219849,150.03590393,1.0,30000.0,28.24597168,0.4911993742,0.7991794348,1.9911999702,0.6583029628,438592.28125,6478953.0,-993.1951294
17.157863617,1015.3739984,1015.3740234,150.49424744,1.0,30000.0,29.791322708,0.4816453755,0.7985852361,1.9918919802,0.6601999998,438592.28125,6478953.0,-993.3471069
17.36050415,1015.5259984,1015.526001,150.66760254,1.0,30000.0,31.572208405,0.4811636806,0.7976636291,1.9940999746,0.6592545509,438592.28125,6478953.0,-993.4990845
17.479047775,1015.6779984,1015.6779785,150.28013611,1.0,30000.0,32.418197632,0.4704209268,0.7964319587,1.9902154207,0.6535790563,438592.28125,6478953.0,-993.651062
17.269031525,1015.8299984,1015.8300171,150.12475586,1.0,30000.0,34.108261108,0.4768715203,0.7943447232,1.9802299738,0.6438663602,438592.28125,6478953.0,-993.8031006
16.925918579,1015.9819984,1015.9819946,150.24995422,1.0,30000.0,33.784664154,0.4716753364,0.7922713161,1.9855035543,0.641792357,438592.28125,6478953.0,-993.9550781
16.79895401,1016.1339984,1016.1339722,150.4059906,1.0,30000.0,31.754276276,0.47284621,0.7910705209,1.9746665955,0.6486980319,438592.28125,6478953.0,-994.1070557
16.859399796,1016.2859984,1016.2860107,150.24281311,1.0,30000.0,29.75,0.4593326449,0.7890415192,1.9785853624,0.6542297006,438592.28125,6478953.0,-994.2590942
16.859399796,1016.4379984,1016.4379883,149.91252136,1.0,30000.0,32.024391174,0.4772537649,0.7869896293,1.9711618423,0.6589792967,438592.28125,6478953.0,-994.4110718
16.825315475,1016.5899984,1016.5900269,149.67672729,1.0,30000.0,31.99659729,0.4907377362,0.7864909768,1.9765124321,0.6575676203,438592.28125,6478953.0,-994.5631104
16.682914734,1016.7419984,1016.7420044,149.69024658,1.0,30000.0,31.149650574,0.4911703169,0.7860999703,1.9687513113,0.6547614932,438592.28125,6478953.0,-994.7150879
16.635995865,1016.8939984,1016.8939819,149.75497437,1.0,30000.0,28.368694305,0.4800744951,0.7860999703,1.9822021723,0.6519702077,438592.28125,6478953.0,-994.8670654
16.767219543,1017.0459984,1017.0460205,149.52929688,1.0,30000.0,29.584178925,0.4745079577,0.786919415,1.9967173338,0.6482906938,438592.28125,6478953.0,-995.019104
16.913295746,1017.1979984,1017.197998,149.4808197,1.0,30000.0,30.449645996,0.4624250829,0.7908090949,2.0116670132,0.6455851197,438592.3125,6478953.0,-995.1710815
16.993610382,1017.3499984,1017.3499756,148.86540222,1.0,30000.0,29.892515182,0.4710195661,0.7946168184,2.0026917458,0.6443071961,438592.3125,6478953.0,-995.3230591
16.968799591,1017.5019984,1017.5020142,148.17276001,1.0,30000.0,28.736026764,0.4617681205,0.7980872989,1.9988086224,0.6463894248,438592.3125,6478953.0,-995.4750977
16.968799591,1017.6539984,1017.6539917,147.94633484,1.0,30000.0,26.663251877,0.4608087242,0.801378727,2.0035567284,0.6512570381,438592.3125,6478953.0,-995.6270752
16.968799591,1017.8059984,1017.8059692,148.01150513,1.0,30000.0,25.253076553,0.4446027577,0.8042719364,2.0109438896,0.6578636765,438592.3125,6478953.0,-995.7790527
16.971834183,1017.9579984,1017.9580078,148.48199463,1.0,30000.0,25.928369522,0.4427687824,0.8074560761,2.0163588524,0.6635534167,438592.3125,6478953.0,-995.9310913
17.002382278,1018.1099984,1018.1099854,148.88371277,1.0,30000.0,29.328617096,0.4425302148,0.8113838434,2.020632267,0.6679605842,438592.3125,6478953.0,-996.0830688
17.081071854,1018.2619984,1018.2620239,149.02127075,1.0,30000.0,32.419078827,0.460976243,0.8131892681,2.0253999233,0.6706380844,438592.3125,6478953.0,-996.2350464
17.099620819,1018.4139984,1018.4140015,149.0295105,1.0,30000.0,33.415966034,0.4689234495,0.8140000105,2.0261275768,0.6728856564,438592.3125,6478953.0,-996.3870239
17.145124435,1018.5659984,1018.565979,148.71691895,1.0,30000.0,31.451826096,0.4719715416,0.8139080405,2.0274972916,0.6687344313,438592.3125,6478953.0,-996.5390015
17.237228394,1018.7179984,1018.7180176,149.51925659,1.0,30000.0,29.936063766,0.4530303776,0.8132280707,2.0180859566,0.6672022939,438592.3125,6478953.0,-996.69104
17.222097397,1018.8699984,1018.8699951,151.21237183,1.0,30000.0,28.208856583,0.4476819336,0.8115712404,2.0085558891,0.6635106802,438592.3125,6478953.0,-996.8430176
17.088291168,1019.0219984,1019.0219727,152.41746521,1.0,30000.0,30.276018143,0.4455463886,0.8082977533,1.9954901934,0.6629240513,438592.3125,6478953.0,-996.9949951
16.856678009,1019.1739984,1019.1740112,152.89543152,1.0,30000.0,31.283777237,0.4452614188,0.8010213971,1.9997988939,0.6611640453,438592.3125,6478953.0,-997.1470337
15.889660835,1019.3259984,1019.3259888,151.6360321,1.0,30000.0,30.563661575,0.4361642599,0.7935738564,1.9894536734,0.6568706632,438592.3125,6478953.0,-997.2990112
16.059354782,1019.4779984,1019.4780273,148.998703,1.0,30000.0,29.968957901,0.4262744784,0.784531951,1.9887214899,0.6572967768,438592.3125,6478953.0,-997.4510498
16.655450821,1019.6299984,1019.6300049,147.90975952,1.0,30000.0,29.203044891,0.430868417,0.7837827206,1.9815654755,0.6537615657,438592.3125,6478953.0,-997.6030273
17.141937256,1019.7819984,1019.7819824,148.34518433,1.0,30000.0,32.186798096,0.4305807352,0.7834008336,1.9844713211,0.6452823877,438592.3125,6478953.0,-997.7550049
16.785486221,1019.9339984,1019.934021,149.82469177,1.0,30000.0,29.377122879,0.4349234998,0.778594017,1.9968328476,0.6422257423,438592.3125,6478953.0,-997.9070435
16.540315628,1020.0859984,1020.0859985,150.64083862,1.0,30000.0,30.351621628,0.4315542579,0.7748211026,2.0095920563,0.6475039124,438592.3125,6478953.0,-998.059021
16.429176331,1020.2379984,1020.2379761,150.58638,1.0,30000.0,34.306324005,0.419554919,0.7735002041,2.0283846855,0.6594876051,438592.3125,6478953.0,-998.2109985
16.323459625,1020.3899984,1020.3900146,149.57847595,1.0,30000.0,40.814723969,0.4250865281,0.7685237527,2.0225157738,0.6675367951,438592.3125,6478953.0,-998.3630371
15.486340523,1020.5419984,1020.5419922,148.45150757,1.0,30000.0,47.131015778,0.4262971282,0.7699278593,2.0158472061,0.6744835973,438592.3125,6478953.0,-998.5150146
15.327201843,1020.6939984,1020.6939697,147.73176575,1.0,30000.0,48.898288727,0.4395468235,0.7828165293,2.0031626225,0.6806849241,438592.3125,6478953.0,-998.6669922
15.380740166,1020.8459984,1020.8460083,147.32479858,1.0,65000.0,52.865432739,0.4384971261,0.7981659174,1.9863173962,0.6814427376,438592.3125,6478953.0,-998.8190308
15.510775566,1020.9979984,1020.9979858,147.13999939,1.0,65000.0,59.734771729,0.4453646243,0.8038773537,1.9786984921,0.6986777186,438592.3125,6478953.0,-998.9710083
15.759215355,1021.1499984,1021.1500244,147.48153687,1.0,65000.0,61.835330963,0.4529677927,0.8112087846,1.9690248966,0.6744121909,438592.3125,6478953.0,-999.1229858
15.425426483,1021.3019984,1021.302002,148.47384644,1.0,65000.0,64.636054993,0.4634903669,0.8131007552,1.9771325588,0.7122275829,438592.3125,6478953.0,-999.2749634
15.431871414,1021.4539984,1021.4539795,149.20219421,1.0,65000.0,63.221237183,0.4595343769,0.8175560236,1.9811559916,0.7336444855,438592.3125,6478953.0,-999.4269409
15.616617203,1021.6059984,1021.6060181,149.25468445,1.0,65000.0,63.938114166,0.4513430297,0.821983695,1.985911727,0.7198312283,438592.3125,6478953.0,-999.5789795
15.374044418,1021.7579984,1021.7579956,149.29994202,1.0,65000.0,64.389671326,0.4565389454,0.8238302469,1.9889141321,0.7202627063,438592.3125,6478953.0,-999.730957
15.169033051,1021.9099984,1021.9099731,148.90129089,1.0,65000.0,63.100376129,0.4637589753,0.8282895088,1.9840894938,0.7156326175,438592.3125,6478953.0,-999.8829346
15.295479774,1022.0619984,1022.0620117,148.15745544,1.0,65000.0,62.223327637,0.4695887268,0.8305026889,1.9651767015,0.7048790455,438592.3125,6478953.0,-1000.034973
15.571007729,1022.2139984,1022.2139893,147.8379364,1.0,65000.0,61.714183807,0.4710991085,0.8370814919,1.9332319498,0.7113559246,438592.3125,6478953.0,-1000.186951
15.607840538,1022.3659984,1022.3660278,147.84687805,1.0,65000.0,61.258888245,0.4878000021,0.8379976153,1.8820310831,0.718347311,438592.3125,6478953.0,-1000.338989
