CALI,DEPT,DEPTH_MD,DTC,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,GR,NPHI,RDEP,RHOB,RMED,X_LOC,Y_LOC,Z_LOC
11.787013054,1198.323735,1198.3237305,140.18505859,2.0,30000.0,40.016376495,0.5067305565,1.226151824,1.9286471605,1.2607303858,459499.46875,6539422.5,-1167.296631
11.832216263,1198.475735,1198.475708,131.71807861,2.0,30000.0,40.241973877,0.5143032074,1.2253758907,1.9500930309,1.2606306076,459499.46875,6539422.5,-1167.448608
11.908776283,1198.627735,1198.6276855,124.45175171,2.0,30000.0,41.229793549,0.5291969776,1.2244089842,1.9780398607,1.2605999708,459499.46875,6539422.5,-1167.600464
11.968045235,1198.779735,1198.7797852,121.26250458,2.0,30000.0,43.220497131,0.505355835,1.223549366,1.9954651594,1.2605999708,459499.46875,6539422.5,-1167.752563
12.059891701,1198.931735,1198.9317627,123.48279572,2.0,30000.0,45.375453949,0.491014272,1.2228885889,2.0038943291,1.2600513697,459499.46875,6539422.5,-1167.904419
12.165157318,1199.083735,1199.0837402,128.44720459,2.0,30000.0,47.471405029,0.4717150629,1.2223585844,2.0115315914,1.2593902349,459499.46875,6539422.5,-1168.056396
12.266967773,1199.235735,1199.2357178,136.23242188,2.0,30000.0,48.619644165,0.461743325,1.2224721909,2.0250544548,1.2587237358,459499.46875,6539422.5,-1168.208374
12.437829971,1199.387735,1199.3876953,139.63697815,2.0,65030.0,48.597068787,0.4538818896,1.2238874435,2.0255923271,1.2581611872,459499.46875,6539422.5,-1168.360352
11.401586533,1199.539735,1199.5397949,140.984375,2.0,65030.0,45.451969147,0.4549230933,1.2272003889,1.9992318153,1.2579325438,459499.46875,6539422.5,-1168.512329
10.84072113,1199.691735,1199.6917725,142.78500366,2.0,65030.0,41.790466309,0.4850225151,1.2334116697,1.9585336447,1.2595148087,459499.46875,6539422.5,-1168.664307
10.770153046,1199.843735,1199.84375,140.38674927,2.0,30000.0,39.245487213,0.5227214098,1.2427014112,1.9415857792,1.26197505,459499.46875,6539422.5,-1168.816284
10.646911621,1199.995735,1199.9957275,137.70330811,2.0,30000.0,41.096515656,0.5380043387,1.2590497732,1.963696599,1.2690746784,459499.4375,6539422.5,-1168.968262
10.471040726,1200.147735,1200.1477051,139.40414429,2.0,30000.0,45.25056076,0.5228158832,1.279060483,2.0165467262,1.2789802551,459499.4375,6539422.5,-1169.120239
10.136155128,1200.299735,1200.2996826,139.05436707,2.0,30000.0,50.480209351,0.5129093528,1.2862973213,2.0636558533,1.2743210793,459499.4375,6539422.5,-1169.272095
9.5871524811,1200.451735,1200.4517822,141.44282532,2.0,65030.0,52.429084778,0.5034956932,1.2874231339,2.0684616566,1.2674304247,459499.4375,6539422.5,-1169.424194
9.4492912292,1200.603735,1200.6037598,141.90762329,2.0,65030.0,50.554359436,0.4892780483,1.2862577438,2.0457384586,1.2592997551,459499.4375,6539422.5,-1169.576172
9.6513347626,1200.755735,1200.7557373,140.52703857,2.0,30000.0,46.672885895,0.4677818716,1.2869699001,2.02226758,1.2533798218,459499.4375,6539422.5,-1169.728027
9.8361177444,1200.907735,1200.9077148,138.70387268,2.0,30000.0,45.976318359,0.4524539411,1.2830435038,2.0012819767,1.2543804646,459499.4375,6539422.5,-1169.880005
9.9525117874,1201.059735,1201.0596924,138.89901733,2.0,30000.0,45.856338501,0.4693371654,1.2838088274,1.9736925364,1.2598171234,459499.4375,6539422.5,-1170.031982
10.177453041,1201.211735,1201.211792,138.46461487,2.0,30000.0,44.231517792,0.4672808945,1.2895421982,1.9506149292,1.265848279,459499.4375,6539422.5,-1170.18396
10.500725746,1201.363735,1201.3637695,137.81175232,2.0,30000.0,42.19657135,0.4860533774,1.2797859907,1.9456099272,1.2699608803,459499.4375,6539422.5,-1170.335938
10.607296944,1201.515735,1201.5157471,137.30714417,2.0,30000.0,41.720462799,0.4807625115,1.2481718063,1.9896895885,1.2575591803,459499.4375,6539422.5,-1170.487915
10.420477867,1201.667735,1201.6677246,138.85876465,2.0,30000.0,43.933486938,0.5009821653,1.2131775618,2.0130970478,1.2379871607,459499.4375,6539422.5,-1170.639893
10.295442581,1201.819735,1201.8197021,138.87004089,2.0,30000.0,49.18409729,0.508862555,1.1840527058,2.0137820244,1.2208898067,459499.40625,6539422.5,-1170.79187
10.310468674,1201.971735,1201.9716797,139.29963684,2.0,30000.0,52.525699615,0.5093198419,1.1572810411,1.9737817049,1.204797864,459499.40625,6539422.5,-1170.943726
10.334231377,1202.123735,1202.1237793,139.60498047,2.0,65030.0,50.249977112,0.4892592132,1.1339939833,1.9149572849,1.1908848286,459499.40625,6539422.5,-1171.095825
10.388291359,1202.275735,1202.2757568,139.50582886,2.0,65030.0,44.624019623,0.4809038937,1.1096369028,1.8918493986,1.1720619202,459499.40625,6539422.5,-1171.247803
10.450904846,1202.427735,1202.4277344,142.28695679,2.0,65030.0,41.274158478,0.4881051779,1.0778716803,1.9139302969,1.137603879,459499.40625,6539422.5,-1171.399658
10.487148285,1202.579735,1202.5797119,144.88166809,2.0,30000.0,42.370426178,0.5065746903,1.0347936153,1.9465669394,1.0840562582,459499.40625,6539422.5,-1171.551636
10.480719566,1202.731735,1202.7316895,143.26664734,2.0,30000.0,45.188873291,0.5256074071,1.0235253572,1.970271945,1.0638301373,459499.40625,6539422.5,-1171.703613
10.32596302,1202.883735,1202.8837891,139.31886292,2.0,30000.0,47.507228851,0.5428517461,1.0542010069,1.9953202009,1.0892212391,459499.40625,6539422.5,-1171.855713
10.087650299,1203.035735,1203.0357666,135.93600464,2.0,30000.0,48.739334106,0.5424948335,1.0897935629,2.0315682888,1.1200176477,459499.40625,6539422.5,-1172.007568
10.017687798,1203.187735,1203.1877441,133.80787659,2.0,30000.0,49.505420685,0.516119957,1.1106189489,2.0474386215,1.1354281902,459499.40625,6539422.5,-1172.159546
10.059987068,1203.339735,1203.3397217,132.08921814,2.0,65030.0,48.798343658,0.4840430915,1.1429729462,2.0310556889,1.1687443256,459499.40625,6539422.5,-1172.311523
10.146602631,1203.491735,1203.4916992,131.26928711,2.0,65030.0,48.651786804,0.4746696651,1.1841611862,2.0390713215,1.2132371664,459499.375,6539422.5,-1172.463501
10.245901108,1203.643735,1203.6436768,133.18006897,2.0,65030.0,47.687648773,0.4850915372,1.2111319304,2.051846981,1.245024085,459499.375,6539422.5,-1172.615356
10.336328506,1203.795735,1203.7957764,135.05227661,2.0,65030.0,49.595035553,0.4985491335,1.2176363468,2.0381858349,1.2617253065,459499.375,6539422.5,-1172.767456
10.358850479,1203.947735,1203.9477539,136.50572205,2.0,65030.0,48.819858551,0.5023409128,1.2141820192,2.0195069313,1.2674190998,459499.375,6539422.5,-1172.919434
10.322697639,1204.099735,1204.0997314,136.92460632,2.0,65030.0,48.058185577,0.4997090697,1.2029870749,2.0071511269,1.2675836086,459499.375,6539422.5,-1173.071289
10.295427322,1204.251735,1204.251709,138.29563904,2.0,65030.0,46.991333008,0.5121082067,1.1720981598,1.994145751,1.2422604561,459499.375,6539422.5,-1173.223267
10.298233986,1204.403735,1204.4036865,141.58665466,2.0,65030.0,47.888832092,0.5284407735,1.1216934919,1.984254241,1.1928175688,459499.375,6539422.5,-1173.375244
10.295507431,1204.555735,1204.5557861,143.10900879,2.0,65030.0,49.730545044,0.5504380465,1.0795363188,1.985604763,1.1573256254,459499.375,6539422.5,-1173.527344
10.291528702,1204.707735,1204.7077637,142.04084778,2.0,65030.0,50.091175079,0.5374214649,1.0561561584,1.9899245501,1.138056159,459499.375,6539422.5,-1173.679199
10.242383003,1204.859735,1204.8597412,142.49040222,2.0,65030.0,51.571228027,0.503108263,1.039603591,1.9715652466,1.1141499281,459499.375,6539422.5,-1173.831177
10.1447258,1205.011735,1205.0117188,142.5460968,2.0,65030.0,53.553543091,0.4676680267,1.028193593,1.9467765093,1.0852918625,459499.375,6539422.5,-1173.983154
10.09380722,1205.163735,1205.1636963,143.26365662,2.0,65000.0,56.793331146,0.484011054,1.0204626322,1.9298782349,1.0684734583,459499.375,6539422.5,-1174.135132
10.038969994,1205.315735,1205.3157959,143.79421997,2.0,65000.0,59.387275696,0.5021973252,1.0209846497,1.9161610603,1.0451799631,459499.34375,6539422.5,-1174.287109
9.8244409561,1205.467735,1205.4677734,142.12062073,2.0,65000.0,60.372024536,0.5085958838,1.0344811678,1.9111293554,1.0188013315,459499.34375,6539422.5,-1174.439087
9.5628528595,1205.619735,1205.619751,140.27047729,2.0,65000.0,62.083629608,0.4848520458,1.0280028582,1.9177495241,0.9826468229,459499.34375,6539422.5,-1174.591064
