WELL,CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
15_9-15,CALI,13245.0,12.837585812329756,13.019873619,3.675006490264391,7.325138092,9.264585495,14.946751595,25.717395782,5.6821661,0.2862692833363389
15_9-15,DEPT,13245.0,2174.0639522838806,2167.592,592.4170986843693,1149.648,1664.32,2689.56,3198.76,1025.24,0.2724929494654598
15_9-15,DEPTH_MD,13245.0,2174.063952273922,2167.592041,592.4170986796714,1149.6479492,1664.3199463,2689.5600586,3198.7600098,1025.2401123,0.2724929494645471
15_9-15,DTC,13245.0,118.02574026874443,123.02952576,35.4123694814089,40.302646637,83.293792725,149.97473145,205.20866394,66.680938725,0.30003937616298776
15_9-15,FORCE_2020_LITHOFACIES_CONFIDENCE,13245.0,1.1089467723669308,1.0,0.41743469201618816,1.0,1.0,1.0,3.0,0.0,0.3764244618569181
15_9-15,FORCE_2020_LITHOFACIES_LITHOLOGY,13245.0,62763.98625896565,65000.0,12144.368952784807,30000.0,65000.0,65030.0,99000.0,30.0,0.19349263290379395
15_9-15,GR,13245.0,57.74995869369409,59.847904205,26.322535438414572,6.0244188309,42.086170197,75.489173889,292.30966187,33.403003692,0.45580180547018845
15_9-15,NPHI,13245.0,0.38412533229581725,0.450568676,0.15230591054926387,0.0390129723,0.2488472313,0.5103642344,0.7331521511,0.26151700310000003,0.39650056308177084
15_9-15,RDEP,13245.0,1.5191730082553794,0.9091154337,1.5403681292513447,0.2644793689,0.7076556683,1.4783929586,14.04620266,0.7707372902999999,1.0139517493272907
15_9-15,RHOB,13245.0,2.1771279111994715,2.1099390984,0.23677736931131943,1.4389990568,1.9858907461,2.3844292164,2.6488473415,0.3985384703000001,0.10875675613421758
15_9-15,RMED,13245.0,1.6673377459500567,1.0386064053,1.80847670849403,0.3825266957,0.7921131253,1.5021033287,20.911962509,0.7099902034000001,1.0846492936939731
15_9-15,X_LOC,13245.0,436806.72653831635,436807.3125,6.2319993366060285,436790.84375,436804.03125,436812.21875,436813.3125,8.1875,1.4267178040032684e-05
15_9-15,Y_LOC,13245.0,6463005.5906757265,6463007.5,10.301228321269697,6462990.5,6462995.0,6463015.0,6463021.0,20.0,1.593875817797749e-06
15_9-15,Z_LOC,13245.0,-2148.8236874325403,-2142.329346,592.2534752245386,-3173.181152,-2664.212402,-1639.250854,-1124.615479,1024.9615480000002,-0.275617529110625
