CURVE,N,Mean,P50,Std,Min,P25,P75,Max,IQR,CV
CALI,94637.0,12.39398328814944,12.479217529,3.2040973170792544,5.9461569786,9.127863884,14.000425339,26.125,4.872561455,0.2585203838497076
DEPT,94637.0,2186.5397453864844,2237.056,658.2226195257707,480.93200085,1660.824,2740.632,3555.7400009,1079.808,0.3010339148486074
DEPTH_MD,94637.0,2186.53974526626,2237.0559082,658.2226194113026,480.93200684,1660.8239746,2740.6320801,3555.7399902,1079.8081055000002,0.30103391481280817
DTC,94637.0,115.58217763052356,123.51907349,31.929254820044214,40.302646637,85.591918945,144.0723114,205.20866394,58.480392454999986,0.27624721626296966
FORCE_2020_LITHOFACIES_CONFIDENCE,94637.0,1.1667846613903652,1.0,0.4307522207016983,1.0,1.0,1.0,3.0,0.0,0.3691788510387211
FORCE_2020_LITHOFACIES_LITHOLOGY,94637.0,62191.11605397466,65000.0,13267.498945066774,30000.0,65000.0,65030.0,99000.0,30.0,0.2133343118260191
GR,94637.0,64.07000113116221,62.050624847,34.39223370521648,5.7826800346,41.547054291,81.68473053,299.36801147,40.137676238999994,0.5367915264245074
NPHI,94637.0,0.35944153650080296,0.3983276784,0.14140518138172234,-0.0053,0.2405155599,0.4801563919,0.8173101544,0.23964083199999997,0.3934024508083151
RDEP,94637.0,1.7605580380292962,1.018872261,12.8067236945743,0.1268168986,0.6917927861,1.9097590446,1856.9350586,1.2179662585,7.274241131470834
RHOB,94637.0,2.2234833912782705,2.2036120892,0.2343183927070566,1.2575906515,2.0325460434,2.4433391094,3.1156110764,0.4107930660000001,0.10538346885170481
RMED,94637.0,1.9478391321325201,1.0618960857,12.393296779389471,0.167986691,0.7376850843,1.9279818535,1796.2091064,1.1902967692,6.362587430832199
X_LOC,94637.0,437287.6088606993,437611.6875,9990.508940094613,423237.53125,433916.28125,438597.4375,460460.03125,4681.15625,0.022846540212112784
Y_LOC,94637.0,6465622.270185023,6461866.5,20963.6976846136,6435551.0,6459993.5,6470981.5,6539630.0,10988.0,0.003242332571960424
Z_LOC,94637.0,-2160.1145162033677,-2210.094971,658.3651476091131,-3529.157227,-2713.802002,-1627.446655,-455.9284363,1086.355347,-0.3047825208666531
